PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=100 ttl=119 time=219 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=119 time=240 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=119 time=154 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=119 time=79.7 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=119 time=102 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=119 time=124 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=119 time=16.3 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=119 time=69.9 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=119 time=93.3 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=119 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=119 time=16.0 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=119 time=58.2 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=119 time=287 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=119 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=119 time=15.7 ms
64 bytes from 8.8.8.8: icmp_seq=118 ttl=119 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=119 time=158 ms
